id,user_id,keyword,weight,last_updated,created_at,updated_at
1,999,machine learning,5.0,2026-03-03T05:10:15.143579,2026-03-03T05:10:15.143579,2026-03-03T05:10:15.143579
2,999,deep learning,4.5,2026-03-03T05:10:15.144373,2026-03-03T05:10:15.144373,2026-03-03T05:10:15.144373
3,999,nlp,3.0,2026-03-03T05:10:15.145670,2026-03-03T05:10:15.145670,2026-03-03T05:10:15.145670
4,997,machine,0.4,2026-03-03T05:10:15.320694,2026-03-03T05:10:15.321189,2026-03-03T05:10:15.321189
5,997,learning,0.4,2026-03-03T05:10:15.321931,2026-03-03T05:10:15.322370,2026-03-03T05:10:15.322370
6,997,algorithms,0.4,2026-03-03T05:10:15.323731,2026-03-03T05:10:15.324831,2026-03-03T05:10:15.324831
7,996,cs.ai,0.3,2026-03-03T05:10:15.331699,2026-03-03T05:10:15.332360,2026-03-03T05:10:15.332360
8,996,cs.lg,0.3,2026-03-03T05:10:15.333355,2026-03-03T05:10:15.333917,2026-03-03T05:10:15.333917
9,996,cs.cl,0.3,2026-03-03T05:10:15.334828,2026-03-03T05:10:15.335299,2026-03-03T05:10:15.335299
10,995,neural networks,0.9500000000000001,2026-03-03T05:10:15.342864,2026-03-03T05:10:15.340229,2026-03-03T05:10:15.343201
16,994,keyword_5,5.0,2026-03-03T05:10:15.354031,2026-03-03T05:10:15.354031,2026-03-03T05:10:15.354031
17,994,keyword_6,6.0,2026-03-03T05:10:15.354781,2026-03-03T05:10:15.354781,2026-03-03T05:10:15.354781
18,994,keyword_7,7.0,2026-03-03T05:10:15.355574,2026-03-03T05:10:15.355574,2026-03-03T05:10:15.355574
19,994,keyword_8,8.0,2026-03-03T05:10:15.356364,2026-03-03T05:10:15.356364,2026-03-03T05:10:15.356364
20,994,keyword_9,9.0,2026-03-03T05:10:15.357214,2026-03-03T05:10:15.357214,2026-03-03T05:10:15.357214
21,994,keyword_10,10.0,2026-03-03T05:10:15.357976,2026-03-03T05:10:15.357976,2026-03-03T05:10:15.357976
22,994,keyword_11,11.0,2026-03-03T05:10:15.358931,2026-03-03T05:10:15.358931,2026-03-03T05:10:15.358931
23,994,keyword_12,12.0,2026-03-03T05:10:15.359835,2026-03-03T05:10:15.359835,2026-03-03T05:10:15.359835
24,994,keyword_13,13.0,2026-03-03T05:10:15.361170,2026-03-03T05:10:15.361170,2026-03-03T05:10:15.361170
25,994,keyword_14,14.0,2026-03-03T05:10:15.362395,2026-03-03T05:10:15.362395,2026-03-03T05:10:15.362395
26,994,keyword_15,15.0,2026-03-03T05:10:15.364277,2026-03-03T05:10:15.364277,2026-03-03T05:10:15.364277
27,994,keyword_16,16.0,2026-03-03T05:10:15.365251,2026-03-03T05:10:15.365251,2026-03-03T05:10:15.365251
28,994,keyword_17,17.0,2026-03-03T05:10:15.366123,2026-03-03T05:10:15.366123,2026-03-03T05:10:15.366123
29,994,keyword_18,18.0,2026-03-03T05:10:15.367282,2026-03-03T05:10:15.367282,2026-03-03T05:10:15.367282
30,994,keyword_19,19.0,2026-03-03T05:10:15.368443,2026-03-03T05:10:15.368443,2026-03-03T05:10:15.368443
31,994,keyword_20,20.0,2026-03-03T05:10:15.369567,2026-03-03T05:10:15.369567,2026-03-03T05:10:15.369567
32,994,keyword_21,21.0,2026-03-03T05:10:15.371140,2026-03-03T05:10:15.371140,2026-03-03T05:10:15.371140
33,994,keyword_22,22.0,2026-03-03T05:10:15.372254,2026-03-03T05:10:15.372254,2026-03-03T05:10:15.372254
34,994,keyword_23,23.0,2026-03-03T05:10:15.373392,2026-03-03T05:10:15.373392,2026-03-03T05:10:15.373392
35,994,keyword_24,24.0,2026-03-03T05:10:15.374575,2026-03-03T05:10:15.374575,2026-03-03T05:10:15.374575
36,993,machine learning,5.0,2026-03-03T05:10:15.387734,2026-03-03T05:10:15.387734,2026-03-03T05:10:15.387734
37,993,deep learning,4.0,2026-03-03T05:10:15.389295,2026-03-03T05:10:15.389295,2026-03-03T05:10:15.389295
38,993,reinforcement learning,3.0,2026-03-03T05:10:15.390363,2026-03-03T05:10:15.390363,2026-03-03T05:10:15.390363
39,1,machine,1.2000000000000002,2026-03-03T07:36:53.143699,2026-03-03T07:36:05.469426,2026-03-03T07:36:53.143959
40,1,learning,1.6,2026-03-03T07:36:53.142026,2026-03-03T07:36:05.471875,2026-03-03T07:36:53.142365
41,1,deep,0.8,2026-03-03T07:36:53.145010,2026-03-03T07:36:05.475294,2026-03-03T07:36:53.145237
